,mapping_framework,mapping_framework_version,capability_group,capability_id,,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,references,comments,organization,creation_date,last_update
529,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1590.005,Gather Victim Network Information: IP Addresses,12.1,enterprise,[],,,4/6/23,4/6/23
530,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1590.006,Gather Victim Network Information: Network Security Appliances,12.1,enterprise,[],,,4/6/23,4/6/23
531,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1592,Gather Victim Host Information,12.1,enterprise,[],,,4/6/23,4/6/23
532,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1592.001,Gather Victim Host Information: Hardware,12.1,enterprise,[],,,4/6/23,4/6/23
533,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1592.002,Gather Victim Host Information: Software,12.1,enterprise,[],,,4/6/23,4/6/23
534,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1592.003,Gather Victim Host Information: Firmware,12.1,enterprise,[],,,4/6/23,4/6/23
535,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1592.004,Gather Victim Host Information: Client Configurations,12.1,enterprise,[],,,4/6/23,4/6/23
536,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1613,Container and Resource Discovery,12.1,enterprise,[],,,4/6/23,4/6/23
537,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1602,Data from Configuration Repository,12.1,enterprise,[],,,4/6/23,4/6/23
538,veris,1.3.7,action.malware,action.malware.variety.Capture stored data,16,Capture data stored on system disk,related-to,T1602,Data from Configuration Repository,12.1,enterprise,[],,,4/6/23,4/6/23
539,veris,1.3.7,attribute.confidentiality,attribute.confidentiality.data_disclosure,69,,related-to,T1602,Data from Configuration Repository,12.1,enterprise,[],,,4/6/23,4/6/23
540,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1602.001,Data from Configuration Repository: SNMP (MIB Dump),12.1,enterprise,[],,,4/6/23,4/6/23
541,veris,1.3.7,attribute.confidentiality,attribute.confidentiality.data_disclosure,69,,related-to,T1602.001,Data from Configuration Repository: SNMP (MIB Dump),12.1,enterprise,[],,,4/6/23,4/6/23
542,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1602.002,Data from Configuration Repository: Network Device Configuration Dump,12.1,enterprise,[],,,4/6/23,4/6/23
543,veris,1.3.7,attribute.confidentiality,attribute.confidentiality.data_disclosure,69,,related-to,T1602.002,Data from Configuration Repository: Network Device Configuration Dump,12.1,enterprise,[],,,4/6/23,4/6/23
544,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1526,Cloud Service Discovery,12.1,enterprise,[],,,4/6/23,4/6/23
545,veris,1.3.7,action.hacking,action.hacking.variety.Scan network,30,Enumerating the state of the network,related-to,T1580,Cloud Infrastructure Discovery,12.1,enterprise,[],,,4/6/23,4/6/23
546,veris,1.3.7,action.hacking,action.hacking.variety.Session prediction,2,Credential or session prediction. Child of 'Exploit vuln'.,related-to,T1606,Forge Web Credentials,12.1,enterprise,[],,,4/6/23,4/6/23
547,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1606,Forge Web Credentials,12.1,enterprise,[],,,4/6/23,4/6/23
548,veris,1.3.7,action.hacking,action.hacking.variety.Session prediction,2,Credential or session prediction. Child of 'Exploit vuln'.,related-to,T1606.001,Forge Web Credentials: Web Cookies,12.1,enterprise,[],,,4/6/23,4/6/23
549,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1606.001,Forge Web Credentials: Web Cookies,12.1,enterprise,[],,,4/6/23,4/6/23
550,veris,1.3.7,action.hacking,action.hacking.variety.Session replay,2,Session replay. Child of 'Exploit vuln'.,related-to,T1550.004,Use Alternate Authentication Material:Web Session Cookie,12.1,enterprise,[],,,4/6/23,4/6/23
551,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1550.004,Use Alternate Authentication Material:Web Session Cookie,12.1,enterprise,[],,,4/6/23,4/6/23
552,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021,Remote Services,12.1,enterprise,[],,,4/6/23,4/6/23
553,veris,1.3.7,action.malware,action.malware.vector.Network propagation,6,Network propagation,related-to,T1021,Remote Services,12.1,enterprise,[],,,4/6/23,4/6/23
554,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.001,Remote Services: Remote Desktop Protocol,12.1,enterprise,[],,,4/6/23,4/6/23
555,veris,1.3.7,action.hacking,action.hacking.vector.Desktop sharing software,4,Superset of 'Desktop sharing' and '3rd party desktop'.  Please use in place of the other two,related-to,T1021.001,Remote Services: Remote Desktop Protocol,12.1,enterprise,[],,,4/6/23,4/6/23
556,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.002,Remote Services: SMB/Windows Admin Shares,12.1,enterprise,[],,,4/6/23,4/6/23
557,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,14,Remote shell,related-to,T1021.002,Remote Services: SMB/Windows Admin Shares,12.1,enterprise,[],,,4/6/23,4/6/23
558,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.003,Remote Services: Distributed Component Object Model,12.1,enterprise,[],,,4/6/23,4/6/23
559,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,14,Remote shell,related-to,T1021.003,Remote Services: Distributed Component Object Model,12.1,enterprise,[],,,4/6/23,4/6/23
560,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.004,Remote Services: SSH,12.1,enterprise,[],,,4/6/23,4/6/23
561,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,14,Remote shell,related-to,T1021.004,Remote Services: SSH,12.1,enterprise,[],,,4/6/23,4/6/23
562,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.005,Remote Services: VNC,12.1,enterprise,[],,,4/6/23,4/6/23
563,veris,1.3.7,action.hacking,action.hacking.vector.Desktop sharing software,4,Superset of 'Desktop sharing' and '3rd party desktop'.  Please use in place of the other two,related-to,T1021.005,Remote Services: VNC,12.1,enterprise,[],,,4/6/23,4/6/23
564,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.006,Remote Services: Windows Remote Management,12.1,enterprise,[],,,4/6/23,4/6/23
565,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,14,Remote shell,related-to,T1021.006,Remote Services: Windows Remote Management,12.1,enterprise,[],,,4/6/23,4/6/23
566,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1078.001,Valid Accounts: Default Accounts,12.1,enterprise,[],,,4/6/23,4/6/23
567,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1078.002,Valid Accounts: Domain Accounts,12.1,enterprise,[],,,4/6/23,4/6/23
568,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1078.003,Valid Accounts: Local Accounts,12.1,enterprise,[],,,4/6/23,4/6/23
569,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1078.004,Valid Accounts: Cloud Accounts,12.1,enterprise,[],,,4/6/23,4/6/23
570,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1134,Access Token Manipulation,12.1,enterprise,[],,,4/6/23,4/6/23
571,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1134.001,Access Token Manipulation: Token Impersonation/Theft,12.1,enterprise,[],,,4/6/23,4/6/23
572,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1134.002,Access Token Manipulation: Create Process with Token,12.1,enterprise,[],,,4/6/23,4/6/23
573,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1134.003,Access Token Manipulation: Make and Impersonate Token,12.1,enterprise,[],,,4/6/23,4/6/23
574,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1134.004,Access Token Manipulation: Parent PID Spoofing,12.1,enterprise,[],,,4/6/23,4/6/23
575,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1134.005,Access Token Manipulation: SID-History Injection,12.1,enterprise,[],,,4/6/23,4/6/23
576,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1550,Use Alternate Authentication Material,12.1,enterprise,[],,,4/6/23,4/6/23
577,veris,1.3.7,action.malware,action.malware.variety.Pass-the-hash,2,Pass-the-hash,related-to,T1550,Use Alternate Authentication Material,12.1,enterprise,[],,,4/6/23,4/6/23
578,veris,1.3.7,action.malware,action.malware.vector.Network propagation,6,Network propagation,related-to,T1550,Use Alternate Authentication Material,12.1,enterprise,[],,,4/6/23,4/6/23
579,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1550.001,Use Alternate Authentication Material: Application Access Token,12.1,enterprise,[],,,4/6/23,4/6/23
580,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1550.003,Use Alternate Authentication Material: Pass the Ticket,12.1,enterprise,[],,,4/6/23,4/6/23
581,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1558,Steal or Forge Kerberos Tickets,12.1,enterprise,[],,,4/6/23,4/6/23
582,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1558.001,Steal or Forge Kerberos Tickets: Golden Ticket,12.1,enterprise,[],,,4/6/23,4/6/23
583,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1558.002,Steal or Forge Kerberos Tickets: Silver Ticket,12.1,enterprise,[],,,4/6/23,4/6/23
584,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1558.003,Steal or Forge Kerberos Tickets: Kerberoasting,12.1,enterprise,[],,,4/6/23,4/6/23
585,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1586,Compromise Account,12.1,enterprise,[],,,4/6/23,4/6/23
586,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1586.001,Compromise Account: Social Media Accounts,12.1,enterprise,[],,,4/6/23,4/6/23
587,veris,1.3.7,action.social,action.social.variety.Phishing,14,"Any type of *ishing.  Phishing always involves getting data from the victim. Phishing usually has some element of pretexting, but often it doesn’t rise to the level of an invented scenario. E.g. A fake google login page isn’t really pretexting.",related-to,T1586.001,Compromise Account: Social Media Accounts,12.1,enterprise,[],,,4/6/23,4/6/23
588,veris,1.3.7,action.social,action.social.variety.Pretexting,11,"Pretexting (dialogue leveraging invented scenario).  Unlike 'Phishing', does not transfer data. (A fraudulent transfer or changing a bank account on a business account is not really disclosing data.",related-to,T1586.001,Compromise Account: Social Media Accounts,12.1,enterprise,[],,,4/6/23,4/6/23
589,veris,1.3.7,action.hacking,action.hacking.variety.Use of stolen creds,32,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1586.002,Compromise Account: Email Accounts,12.1,enterprise,[],,,4/6/23,4/6/23
590,veris,1.3.7,action.hacking,action.hacking.variety.Virtual machine escape,1,Virtual machine escape. Child of 'Exploit vuln'.,related-to,T1611,Escape to Host,12.1,enterprise,[],,,4/6/23,4/6/23
591,veris,1.3.7,action.hacking,action.hacking.variety.XML external entities,2,XML external entities. Child of 'Exploit vuln'.,related-to,T1213,Data from Information Repository,12.1,enterprise,[],,,4/6/23,4/6/23
592,veris,1.3.7,action.malware,action.malware.variety.Capture stored data,16,Capture data stored on system disk,related-to,T1213,Data from Information Repository,12.1,enterprise,[],,,4/6/23,4/6/23
593,veris,1.3.7,attribute.confidentiality,attribute.confidentiality.data_disclosure,69,,related-to,T1213,Data from Information Repository,12.1,enterprise,[],,,4/6/23,4/6/23
594,veris,1.3.7,action.hacking,action.hacking.variety.XPath injection,1,XPath injection. Child of 'Exploit vuln'.,related-to,T1010,Application Window Discovery,12.1,enterprise,[],,,4/6/23,4/6/23
595,veris,1.3.7,action.malware,action.malware.variety.Capture stored data,16,Capture data stored on system disk,related-to,T1010,Application Window Discovery,12.1,enterprise,[],,,4/6/23,4/6/23
596,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1105,Ingress Tool Transfer,12.1,enterprise,[],,,4/6/23,4/6/23
597,veris,1.3.7,action.hacking,action.hacking.vector.Other network service,11,Network service that is not remote access or a web application.,related-to,T1105,Ingress Tool Transfer,12.1,enterprise,[],,,4/6/23,4/6/23
598,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1111,Two-Factor Authentication Interception,12.1,enterprise,[],,,4/6/23,4/6/23
599,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1583,Acquire Infrastructure,12.1,enterprise,[],,,4/6/23,4/6/23
600,veris,1.3.7,action.malware,action.malware.vector.Web application - download,2,Web via user-executed or downloaded content. Child of 'Web application'.,related-to,T1583,Acquire Infrastructure,12.1,enterprise,[],,,4/6/23,4/6/23
601,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1583.001,Acquire Infrastructure: Domains,12.1,enterprise,[],,,4/6/23,4/6/23
602,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1583.001,Acquire Infrastructure: Domains,12.1,enterprise,[],,,4/6/23,4/6/23
603,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1583.001,Acquire Infrastructure: Domains,12.1,enterprise,[],,,4/6/23,4/6/23
604,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1583.002,Acquire Infrastructure: DNS Server,12.1,enterprise,[],,,4/6/23,4/6/23
605,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1583.002,Acquire Infrastructure: DNS Server,12.1,enterprise,[],,,4/6/23,4/6/23
606,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1583.002,Acquire Infrastructure: DNS Server,12.1,enterprise,[],,,4/6/23,4/6/23
607,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1584,Compromise Infrastructure,12.1,enterprise,[],,,4/6/23,4/6/23
608,veris,1.3.7,action.malware,action.malware.vector.Web application - download,2,Web via user-executed or downloaded content. Child of 'Web application'.,related-to,T1584,Compromise Infrastructure,12.1,enterprise,[],,,4/6/23,4/6/23
609,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1584.001,Compromise Infrastructure: Domains,12.1,enterprise,[],,,4/6/23,4/6/23
610,veris,1.3.7,action.social,action.social.variety.Pretexting,11,"Pretexting (dialogue leveraging invented scenario).  Unlike 'Phishing', does not transfer data. (A fraudulent transfer or changing a bank account on a business account is not really disclosing data.",related-to,T1584.001,Compromise Infrastructure: Domains,12.1,enterprise,[],,,4/6/23,4/6/23
611,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1584.002,Compromise Infrastructure: DNS Server,12.1,enterprise,[],,,4/6/23,4/6/23
612,veris,1.3.7,action.malware,action.malware.variety.Backdoor or C2,48,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1584.002,Compromise Infrastructure: DNS Server,12.1,enterprise,[],,,4/6/23,4/6/23
613,veris,1.3.7,action.malware,action.malware.variety.C2,36,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1584.002,Compromise Infrastructure: DNS Server,12.1,enterprise,[],,,4/6/23,4/6/23
614,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1584.003,Compromise Infrastructure: Virtual Private Server,12.1,enterprise,[],,,4/6/23,4/6/23
615,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1584.004,Compromise Infrastructure: Server,12.1,enterprise,[],,,4/6/23,4/6/23
616,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1584.006,Compromise Infrastructure: Web Services,12.1,enterprise,[],,,4/6/23,4/6/23
617,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1587,Develop Capabilities,12.1,enterprise,[],,,4/6/23,4/6/23
618,veris,1.3.7,value_chain.development,value_chain.development.variety.Unknown,2,Nothing is known about the need for or type of development investment other than it was present.,related-to,T1587,Develop Capabilities,12.1,enterprise,[],,,4/6/23,4/6/23
619,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1587.001,Develop Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
620,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1587.001,Develop Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
621,veris,1.3.7,value_chain.development,value_chain.development.variety.Bot,3,"A small program that can be distributed, installed, and controlled en mass.",related-to,T1587.001,Develop Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
622,veris,1.3.7,value_chain.development,value_chain.development.variety.Payload,2,The portion a program that causes a negative effect.,related-to,T1587.001,Develop Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
623,veris,1.3.7,value_chain.development,value_chain.development.variety.Ransomware,2,Ransomware (encrypt or seize stored data),related-to,T1587.001,Develop Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
624,veris,1.3.7,value_chain.development,value_chain.development.variety.Trojan,2,A program which masquerades as another program to get a target to execute malicious content,related-to,T1587.001,Develop Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
625,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1587.002,Develop Capabilities: Code Signing Certificates,12.1,enterprise,[],,,4/6/23,4/6/23
626,veris,1.3.7,value_chain.development,value_chain.development.variety.Other,4,"The variety of development required is known, but is not listed.",related-to,T1587.002,Develop Capabilities: Code Signing Certificates,12.1,enterprise,[],,,4/6/23,4/6/23
627,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1587.003,Develop Capabilities: Digital Certificates,12.1,enterprise,[],,,4/6/23,4/6/23
628,veris,1.3.7,value_chain.development,value_chain.development.variety.Other,4,"The variety of development required is known, but is not listed.",related-to,T1587.003,Develop Capabilities: Digital Certificates,12.1,enterprise,[],,,4/6/23,4/6/23
629,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1587.004,Develop Capabilities: Exploits,12.1,enterprise,[],,,4/6/23,4/6/23
630,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1587.004,Develop Capabilities: Exploits,12.1,enterprise,[],,,4/6/23,4/6/23
631,veris,1.3.7,value_chain.development,value_chain.development.variety.Exploit,2,"Code to exploit a vulnerability, including web injects.",related-to,T1587.004,Develop Capabilities: Exploits,12.1,enterprise,[],,,4/6/23,4/6/23
632,veris,1.3.7,value_chain.development,value_chain.development.variety.Exploit Kits,2,Code sets capable of selecting and trying multiple exploits against a target.,related-to,T1587.004,Develop Capabilities: Exploits,12.1,enterprise,[],,,4/6/23,4/6/23
633,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1588,Obtain Capabilities,12.1,enterprise,[],,,4/6/23,4/6/23
634,veris,1.3.7,value_chain.development,value_chain.development.variety.Unknown,2,Nothing is known about the need for or type of development investment other than it was present.,related-to,T1588,Obtain Capabilities,12.1,enterprise,[],,,4/6/23,4/6/23
635,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1588.001,Obtain Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
636,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1588.001,Obtain Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
637,veris,1.3.7,value_chain.development,value_chain.development.variety.Bot,3,"A small program that can be distributed, installed, and controlled en mass.",related-to,T1588.001,Obtain Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
638,veris,1.3.7,value_chain.development,value_chain.development.variety.Payload,2,The portion a program that causes a negative effect.,related-to,T1588.001,Obtain Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
639,veris,1.3.7,value_chain.development,value_chain.development.variety.Ransomware,2,Ransomware (encrypt or seize stored data),related-to,T1588.001,Obtain Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
640,veris,1.3.7,value_chain.development,value_chain.development.variety.Trojan,2,A program which masquerades as another program to get a target to execute malicious content,related-to,T1588.001,Obtain Capabilities: Malware,12.1,enterprise,[],,,4/6/23,4/6/23
641,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1588.002,Obtain Capabilities: Tool,12.1,enterprise,[],,,4/6/23,4/6/23
642,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1588.003,Obtain Capabilities: Code Signing Certificates,12.1,enterprise,[],,,4/6/23,4/6/23
643,veris,1.3.7,value_chain.development,value_chain.development.variety.Other,4,"The variety of development required is known, but is not listed.",related-to,T1588.003,Obtain Capabilities: Code Signing Certificates,12.1,enterprise,[],,,4/6/23,4/6/23
644,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1588.004,Obtain Capabilities: Digital Certificates,12.1,enterprise,[],,,4/6/23,4/6/23
645,veris,1.3.7,value_chain.development,value_chain.development.variety.Other,4,"The variety of development required is known, but is not listed.",related-to,T1588.004,Obtain Capabilities: Digital Certificates,12.1,enterprise,[],,,4/6/23,4/6/23
646,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1588.005,Obtain Capabilities: Exploits,12.1,enterprise,[],,,4/6/23,4/6/23
647,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1588.005,Obtain Capabilities: Exploits,12.1,enterprise,[],,,4/6/23,4/6/23
648,veris,1.3.7,value_chain.development,value_chain.development.variety.Exploit,2,"Code to exploit a vulnerability, including web injects.",related-to,T1588.005,Obtain Capabilities: Exploits,12.1,enterprise,[],,,4/6/23,4/6/23
649,veris,1.3.7,value_chain.development,value_chain.development.variety.Exploit Kits,2,Code sets capable of selecting and trying multiple exploits against a target.,related-to,T1588.005,Obtain Capabilities: Exploits,12.1,enterprise,[],,,4/6/23,4/6/23
650,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1588.006,Obtain Capabilities: Vulnerabilities,12.1,enterprise,[],,,4/6/23,4/6/23
651,veris,1.3.7,action.malware,action.malware.variety.Unknown,29,Unknown,related-to,T1588.006,Obtain Capabilities: Vulnerabilities,12.1,enterprise,[],,,4/6/23,4/6/23
652,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1599,Network Boundry Bridging,12.1,enterprise,[],,,4/6/23,4/6/23
653,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1599.001,Network Boundry Bridging: Network Address Translation Traversal,12.1,enterprise,[],,,4/6/23,4/6/23
654,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1606.002,Forge Web Credentials: SAML Tokens,12.1,enterprise,[],,,4/6/23,4/6/23
655,veris,1.3.7,action.hacking,action.hacking.variety.Unknown,41,Unknown,related-to,T1531,Account Access Removal,12.1,enterprise,[],,,4/6/23,4/6/23
656,veris,1.3.7,attribute.availability,attribute.availability.variety.Destruction,6,Destruction,related-to,T1531,Account Access Removal,12.1,enterprise,[],,,4/6/23,4/6/23
657,veris,1.3.7,attribute.availability,attribute.availability.variety.Interruption,8,Interruption,related-to,T1531,Account Access Removal,12.1,enterprise,[],,,4/6/23,4/6/23
658,veris,1.3.7,attribute.integrity,attribute.integrity.variety.Unknown,1,Unknown,related-to,T1531,Account Access Removal,12.1,enterprise,[],,,4/6/23,4/6/23
659,veris,1.3.7,action.hacking,action.hacking.vector.Desktop sharing software,4,Superset of 'Desktop sharing' and '3rd party desktop'.  Please use in place of the other two,related-to,T1219,Remote Access Software,12.1,enterprise,[],,,4/6/23,4/6/23
660,veris,1.3.7,action.malware,action.malware.variety.Adminware,3,"System or network utilities (e.g., PsTools, Netcat)",related-to,T1219,Remote Access Software,12.1,enterprise,[],,,4/6/23,4/6/23
661,veris,1.3.7,action.hacking,action.hacking.vector.Hypervisor,2,Hypervisor break-out attack,related-to,T1497,Virtualization/Sandbox Evasion,12.1,enterprise,[],,,4/6/23,4/6/23
662,veris,1.3.7,action.hacking,action.hacking.vector.Inter-tenant,2,Penetration of another VM or web site on shared device or infrastructure,related-to,T1497,Virtualization/Sandbox Evasion,12.1,enterprise,[],,,4/6/23,4/6/23
663,veris,1.3.7,action.malware,action.malware.variety.Disable controls,45,Disable or interfere with security controls,related-to,T1497,Virtualization/Sandbox Evasion,12.1,enterprise,[],,,4/6/23,4/6/23
664,veris,1.3.7,action.hacking,action.hacking.vector.Partner,5,Partner connection or credential. (Indicates supply chain breach.),related-to,T1199,Trusted Relationship,12.1,enterprise,[],,,4/6/23,4/6/23
665,veris,1.3.7,action.malware,action.malware.variety.Adware,1,Adware,related-to,T1199,Trusted Relationship,12.1,enterprise,[],,,4/6/23,4/6/23
666,veris,1.3.7,action.malware,action.malware.vector.Partner,2,Partner connection or credential. (Indicates supply chain breach.),related-to,T1199,Trusted Relationship,12.1,enterprise,[],,,4/6/23,4/6/23
667,veris,1.3.7,action.social,action.social.vector.Partner,2,Partner connection or credential. (Indicates supply chain breach.),related-to,T1199,Trusted Relationship,12.1,enterprise,[],,,4/6/23,4/6/23
